no	Lat	Long	Species	Sampling_date	Confirming_date	Subtype	Patho_type	Report_type	Info9	Info10	location3
443a	23.699358	120.238394	種鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	443	422	Yunlin County
444a	24.89362	120.99256	肉鵝	2015-01-22	2015-01-26	H5N8	HPAI	業者主動通報	444	421	Hsinchu County
445a	22.51825	120.54216667	蛋中雞	2015-01-22	2015-01-28	H5N2	HPAI	業者主動通報	445	420	Pingtung County
446a	22.72947	121.09774	土雞	2015-01-22	2015-02-01	H5Nx	HPAI	業者主動通報	446	419	Taitung County
447a	22.55997	120.48087	肉鵝	2015-01-22	2015-02-01	H5Nx	HPAI	業者主動通報	447	418	Pingtung County
448a	22.50891667	120.58886111	土雞	2015-01-22	2015-02-01	H5Nx	HPAI	業者主動通報	448	417	Pingtung County
449a	23.61398	120.20075	肉鴨	2015-01-22	2015-02-04	H5N2	HPAI	業者主動通報	449	416	Yunlin County
372a	22.61130556	120.49308333	土番鴨	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	372	415	Pingtung County
373a	22.613	120.49247222	土番鴨	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	373	414	Pingtung County
374a	22.61788	120.50882	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	374	413	Pingtung County
375a	22.6197	120.50106	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	375	412	Pingtung County
376a	23.424941	120.205087	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	376	411	Chiayi County
377a	23.504538	120.266001	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	377	410	Chiayi County
378a	23.67292	120.19756	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	378	409	Yunlin County
379a	23.674748	120.193745	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	379	408	Yunlin County
380a	23.699524	120.267016	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	380	407	Yunlin County
381a	23.72058	120.2694	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	381	406	Yunlin County
382a	23.72558	120.226058	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	382	405	Yunlin County
383a	23.737205	120.258653	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	383	404	Yunlin County
384a	23.741084	120.230131	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	384	403	Yunlin County
385a	23.7542	120.2258	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	385	402	Yunlin County
386a	23.784009	120.24371	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	386	401	Yunlin County
387a	23.785387	120.271261	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	387	400	Yunlin County
388a	23.786121	120.244686	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	388	399	Yunlin County
389a	23.843611	120.417033	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	389	398	Changhua County
390a	23.852725	120.307854	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	390	397	Changhua County
391a	24.347084	120.708451	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	391	396	Taichung City
392a	23.21289	120.2966	種鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	392	395	Tainan City
393a	23.5668	120.425454	種鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	393	394	Chiayi County
394a	23.567413	120.425226	種鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	394	393	Chiayi County
395a	23.765369	120.23061	種鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	395	392	Yunlin County
396a	23.717764	120.266388	火雞	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	396	391	Yunlin County
397a	22.50980556	120.56488889	正番鴨	2015-01-21	2015-01-24	H5Nx	HPAI	業者主動通報	397	390	Pingtung County
398a	22.50980556	120.56488889	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	398	389	Pingtung County
399a	23.621784	120.181773	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	399	388	Yunlin County
400a	23.63445	120.16424	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	400	387	Yunlin County
401a	23.68568	120.263646	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	401	386	Yunlin County
402a	23.714037	120.23984	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	402	385	Yunlin County
403a	23.720776	120.255871	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	403	384	Yunlin County
404a	23.722773	120.240025	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	404	383	Yunlin County
405a	23.737804	120.251985	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	405	382	Yunlin County
406a	23.74292	120.220523	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	406	381	Yunlin County
407a	23.743855	120.270901	肉鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	407	380	Yunlin County
408a	23.782837	120.27675	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	408	379	Yunlin County
409a	23.80521	120.269337	肉鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	409	378	Yunlin County
410a	23.778	120.232606	種鵝	2015-01-21	2015-01-24	H5N8	HPAI	業者主動通報	410	377	Yunlin County
411a	23.796135	120.26942	種鵝	2015-01-21	2015-01-24	H5N2	HPAI	業者主動通報	411	376	Yunlin County
412a	23.74841	120.22068	肉鴨	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	412	375	Yunlin County
413a	23.67939	120.48829	肉鵝	2015-01-21	2015-01-24	H5N2_H5N8	HPAI	業者主動通報	413	374	Yunlin County
414a	23.514023	120.326863	土雞	2015-01-21	2015-01-30	H5N8	HPAI	業者主動通報	414	373	Chiayi County
415a	23.756081	120.224979	肉鵝	2015-01-21	2015-02-03	H5N8	HPAI	業者主動通報	415	372	Yunlin County
331a	23.87774	120.29191	土雞	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	331	371	Changhua County
332a	24.34880556	120.71252778	水陸禽混養	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	332	370	Taichung City
333a	22.58354	120.476	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	333	369	Pingtung County
334a	22.64063	120.49147	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	334	368	Pingtung County
335a	22.71187	120.55889	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	335	367	Pingtung County
336a	23.204051	120.253766	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	336	366	Tainan City
337a	23.20822	120.2128	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	337	365	Tainan City
338a	23.22519	120.25473	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	338	364	Tainan City
339a	23.23275	120.289	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	339	363	Tainan City
340a	23.23416	120.28503	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	340	362	Tainan City
341a	23.35573	120.3381	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	341	361	Tainan City
342a	23.423164	120.212603	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	342	360	Chiayi County
343a	23.42507	120.218081	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	343	359	Chiayi County
344a	23.432433	120.377938	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	344	358	Chiayi County
345a	23.15359	120.3459	蛋鴨	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	345	357	Tainan City
346a	22.49295	120.58657	土雞	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	346	356	Pingtung County
347a	22.53004	120.56272	土雞	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	347	355	Pingtung County
348a	23.85768	120.27668	土雞	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	348	354	Changhua County
349a	23.85797	120.27972	土雞	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	349	353	Changhua County
350a	22.53046	120.56923	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	350	352	Pingtung County
351a	23.617002	120.237049	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	351	351	Yunlin County
352a	23.621835	120.227865	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	352	350	Yunlin County
353a	23.675868	120.18939	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	353	349	Yunlin County
354a	23.699024	120.257738	肉鵝	2015-01-20	2015-01-23	H5N2_H5N8	HPAI	業者主動通報	354	348	Yunlin County
355a	23.699864	120.267784	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	355	347	Yunlin County
356a	23.719285	120.235539	肉鵝	2015-01-20	2015-01-23	H5N2_H5N8	HPAI	業者主動通報	356	346	Yunlin County
357a	23.71966	120.23584	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	357	345	Yunlin County
358a	23.75477	120.22635	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	358	344	Yunlin County
359a	23.71876	120.231145	種鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	359	343	Yunlin County
360a	23.66689	120.23846	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	360	342	Yunlin County
361a	23.67482	120.2497	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	361	341	Yunlin County
362a	23.68283	120.21462	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	362	340	Yunlin County
363a	23.718961	120.269182	肉鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	363	339	Yunlin County
364a	23.740297	120.23037	肉鵝	2015-01-20	2015-01-23	H5N2_H5N8	HPAI	業者主動通報	364	338	Yunlin County
365a	23.72291	120.23678	種鵝	2015-01-20	2015-01-23	H5N2_H5N8	HPAI	業者主動通報	365	337	Yunlin County
366a	23.72655	120.240065	種鵝	2015-01-20	2015-01-23	H5N8	HPAI	業者主動通報	366	336	Yunlin County
367a	23.71257	120.20479	肉鵝	2015-01-20	2015-01-23	H5N2	HPAI	業者主動通報	367	335	Yunlin County
368a	22.62244	120.49401	肉鵝	2015-01-20	2015-01-28	H5N2	HPAI	業者主動通報	368	334	Pingtung County
369a	23.689745	120.361544	肉鵝	2015-01-20	2015-01-28	H5N2	HPAI	業者主動通報	369	333	Yunlin County
370a	23.703335	120.265798	肉鵝	2015-01-20	2015-01-30	H5N2	HPAI	業者主動通報	370	332	Yunlin County
371a	23.428403	120.255305	白肉雞	2015-01-20	2015-02-01	H5Nx	HPAI	業者主動通報	371	331	Chiayi County
300a	23.98452778	120.3645	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	300	330	Changhua County
301a	22.71366667	120.54888889	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	301	329	Pingtung County
302a	22.72375	120.56175	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	302	328	Pingtung County
303a	23.20617	120.27311	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	303	327	Tainan City
304a	23.23269	120.28122	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	304	326	Tainan City
305a	23.238584	120.286191	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	305	325	Tainan City
306a	23.36414	120.31719	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	306	324	Tainan City
307a	23.4294	120.2113	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	307	323	Chiayi County
308a	23.434004	120.20965	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	308	322	Chiayi County
309a	23.43638	120.21734	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	309	321	Chiayi County
310a	23.2166	120.29758	種鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	310	320	Tainan City
311a	23.23149	120.2808	種鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	311	319	Tainan City
312a	23.56833	120.41559	種鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	312	318	Chiayi County
313a	24.347194	120.698451	種鵝	2015-01-19	2015-01-22	H5N2_H5N8	HPAI	業者主動通報	313	317	Taichung City
314a	23.97952778	120.3845	土雞	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	314	316	Changhua County
315a	23.639093	120.196123	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	315	315	Yunlin County
316a	23.63971	120.18631	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	316	314	Yunlin County
317a	23.67559	120.29103	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	317	313	Yunlin County
318a	23.69266	120.24392	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	318	312	Yunlin County
319a	23.702561	120.248807	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	319	311	Yunlin County
320a	23.710021	120.251895	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	320	310	Yunlin County
321a	23.71691	120.2597	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	321	309	Yunlin County
322a	23.71887	120.24897	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	322	308	Yunlin County
323a	23.67339	120.19473	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	323	307	Yunlin County
324a	23.78536	120.243693	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	324	306	Yunlin County
325a	23.42544	120.20726	種鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	325	305	Chiayi County
326a	23.632483	120.233477	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	326	304	Yunlin County
327a	23.7544	120.23164	肉鵝	2015-01-19	2015-01-22	H5N8	HPAI	業者主動通報	327	303	Yunlin County
328a	23.580791	120.234653	肉鵝	2015-01-19	2015-01-22	H5N2	HPAI	業者主動通報	328	302	Yunlin County
329a	23.70963	120.27708	肉鵝	2015-01-19	2015-01-28	H5N2	HPAI	業者主動通報	329	301	Yunlin County
330a	23.724518	120.255603	肉鵝	2015-01-19	2015-01-28	H5N2	HPAI	業者主動通報	330	300	Yunlin County
268a	22.722068	121.126376	候(野)鳥	2015-01-18	2015-01-30	H5N2	HPAI	候(野)鳥	268	299	Taitung County
269a	23.97136111	120.37525	土雞	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	269	298	Changhua County
270a	22.61794444	120.45736111	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	270	297	Pingtung County
271a	22.62588889	120.4485	肉鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	271	296	Pingtung County
272a	23.208	120.2384	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	272	295	Tainan City
273a	23.226012	120.284732	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	273	294	Tainan City
274a	23.23538	120.25311	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	274	293	Tainan City
275a	23.24993	120.29463	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	275	292	Tainan City
276a	23.256744	120.289187	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	276	291	Tainan City
277a	23.4265	120.20598	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	277	290	Chiayi County
278a	23.42729	120.29583	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	278	289	Chiayi County
279a	23.50538	120.36648	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	279	288	Chiayi County
280a	23.230834	120.283086	種鴨	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	280	287	Tainan City
281a	22.6415	120.48338889	種鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	281	286	Pingtung County
282a	23.63563	120.17737	土番鴨	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	282	285	Yunlin County
283a	23.723958	120.232067	土番鴨	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	283	284	Yunlin County
284a	23.55408	120.20636	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	284	283	Yunlin County
285a	23.6815	120.22227	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	285	282	Yunlin County
286a	23.74039	120.21606	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	286	281	Yunlin County
287a	23.767309	120.232738	肉鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	287	280	Yunlin County
288a	23.601632	120.245903	種鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	288	279	Yunlin County
289a	23.672151	120.249832	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	289	278	Yunlin County
290a	23.67442	120.24603	肉鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	290	277	Yunlin County
291a	23.718596	120.254268	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	291	276	Yunlin County
292a	23.719155	120.271857	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	292	275	Yunlin County
293a	23.743595	120.234105	肉鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	293	274	Yunlin County
294a	23.699105	120.23599	種鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	294	273	Yunlin County
295a	23.677028	120.199062	肉鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	295	272	Yunlin County
296a	23.716707	120.239929	肉鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	296	271	Yunlin County
297a	23.719486	120.267416	肉鵝	2015-01-18	2015-01-21	H5N8	HPAI	業者主動通報	297	270	Yunlin County
298a	23.636082	120.183286	種鵝	2015-01-18	2015-01-21	H5N2_H5N8	HPAI	業者主動通報	298	269	Yunlin County
299a	23.616694	120.175047	種鵝	2015-01-18	2015-01-21	H5N2	HPAI	業者主動通報	299	268	Yunlin County
239a	23.45206	120.32961	土雞	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	239	267	Chiayi County
240a	23.236665	120.28553	肉鵝	2015-01-17	2015-01-20	H5N2_H5N8	HPAI	業者主動通報	240	266	Tainan City
241a	22.51830556	120.54438889	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	241	265	Pingtung County
242a	22.63575	120.50719444	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	242	264	Pingtung County
243a	22.68383333	120.55633333	肉鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	243	263	Pingtung County
244a	22.68969444	120.57216667	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	244	262	Pingtung County
245a	23.7447	120.24113	肉鴨	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	245	261	Yunlin County
246a	23.516821	120.207722	肉鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	246	260	Yunlin County
247a	23.603843	120.219072	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	247	259	Yunlin County
248a	23.666039	120.234577	肉鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	248	258	Yunlin County
249a	23.720658	120.274112	肉鵝	2015-01-17	2015-01-20	H5N2_H5N8	HPAI	業者主動通報	249	257	Yunlin County
250a	23.723561	120.235728	肉鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	250	256	Yunlin County
251a	23.72777	120.24162	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	251	255	Yunlin County
252a	23.731309	120.254309	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	252	254	Yunlin County
253a	23.745257	120.240357	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	253	253	Yunlin County
254a	23.746512	120.236453	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	254	252	Yunlin County
255a	23.755741	120.25545	肉鵝	2015-01-17	2015-01-20	H5N2_H5N8	HPAI	業者主動通報	255	251	Yunlin County
256a	23.784384	120.276092	肉鵝	2015-01-17	2015-01-20	H5N2_H5N8	HPAI	業者主動通報	256	250	Yunlin County
257a	23.61663	120.173458	種鵝	2015-01-17	2015-01-20	H5Nx	HPAI	業者主動通報	257	249	Yunlin County
258a	23.62778	120.17269	種鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	258	248	Yunlin County
259a	23.62779	120.17257	種鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	259	247	Yunlin County
260a	23.644838	120.331401	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	260	246	Yunlin County
261a	23.709269	120.243497	肉鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	261	245	Yunlin County
262a	23.718041	120.231939	種鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	262	244	Yunlin County
263a	23.719943	120.243847	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	263	243	Yunlin County
264a	23.725021	120.26719	肉鵝	2015-01-17	2015-01-20	H5N8	HPAI	業者主動通報	264	242	Yunlin County
265a	23.652459	120.240784	種鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	265	241	Yunlin County
266a	23.72074	120.25698	肉鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	266	240	Yunlin County
267a	23.653221	120.239819	種鵝	2015-01-17	2015-01-20	H5N2	HPAI	業者主動通報	267	239	Yunlin County
192a	22.69025	120.532347	候(野)鳥	2015-01-16	2015-01-19	H5Nx	HPAI	候(野)鳥	192	238	Pingtung County
193a	22.855718	120.272494	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	193	237	Kaohsiung City
194a	22.893496	120.28933	正番鴨	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	194	236	Kaohsiung City
195a	22.858061	120.523397	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	195	235	Kaohsiung City
196a	23.9362	120.3501	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	196	234	Changhua County
197a	23.19475	120.24863	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	197	233	Tainan City
198a	23.21948	120.22989	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	198	232	Tainan City
199a	23.232568	120.280891	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	199	231	Tainan City
200a	23.23579	120.23821	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	200	230	Tainan City
201a	23.23909	120.28579	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	201	229	Tainan City
202a	23.36082	120.44875	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	202	228	Tainan City
203a	23.36799	120.30829	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	203	227	Tainan City
204a	23.423469	120.215703	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	204	226	Chiayi County
205a	23.498485	120.17693	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	205	225	Chiayi County
206a	23.622464	120.417313	種鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	206	224	Chiayi County
207a	22.61012	120.51558	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	207	223	Pingtung County
208a	22.61014	120.51665	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	208	222	Pingtung County
209a	23.73837	120.24404	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	209	221	Yunlin County
210a	23.743595	120.234105	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	210	220	Yunlin County
211a	23.76961	120.24449	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	211	219	Yunlin County
212a	23.77503	120.23685	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	212	218	Yunlin County
213a	23.786779	120.273995	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	213	217	Yunlin County
214a	23.741926	120.223975	種鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	214	216	Yunlin County
215a	22.52986	120.56981	肉鵝	2015-01-16	2015-01-19	H5N3	HPAI	業者主動通報	215	215	Pingtung County
216a	22.82802	120.51813	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	216	214	Pingtung County
217a	23.609548	120.205865	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	217	213	Yunlin County
218a	23.62486	120.16788	肉鵝	2015-01-16	2015-01-19	H5Nx	HPAI	業者主動通報	218	212	Yunlin County
219a	23.65503	120.21629	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	219	211	Yunlin County
220a	23.65532	120.18307	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	220	210	Yunlin County
221a	23.69898	120.237159	肉鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	221	209	Yunlin County
222a	23.701514	120.2404	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	222	208	Yunlin County
223a	23.709948	120.250511	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	223	207	Yunlin County
224a	23.722038	120.261158	肉鵝	2015-01-16	2015-01-19	H5N2_H5N8	HPAI	業者主動通報	224	206	Yunlin County
225a	23.724172	120.267139	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	225	205	Yunlin County
226a	23.7344	120.2582	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	226	204	Yunlin County
227a	23.63599	120.200171	種鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	227	203	Yunlin County
228a	23.636921	120.201167	種鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	228	202	Yunlin County
229a	23.716463	120.246874	種鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	229	201	Yunlin County
230a	23.723624	120.253081	種鵝	2015-01-16	2015-01-19	H5N8	HPAI	業者主動通報	230	200	Yunlin County
231a	23.785404	120.276702	肉鴨	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	231	199	Yunlin County
232a	23.620228	120.158709	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	232	198	Yunlin County
233a	23.678051	120.234263	肉鵝	2015-01-16	2015-01-19	H5N2	HPAI	業者主動通報	233	197	Yunlin County
